algo1,algo2,method,gamma_pref,treatment_percentage,cluster_shuffle_percentage,TUR_algo_1,TUR_algo_2,graph_cut,TE,Percentage_TE
Ideal,Item,Split,1.0,0.5,0.6,[0.99939232 0.99838373 1.         0.18722244],[0.36430091 0.28028848 0.44915123 0.0019044 ],0.0,[0.6350914  0.55040849 0.71906102 0.00190313],[0.63547824 0.55052445 0.71952661 0.00190617]
Ideal,Random,Split,1.0,0.5,0.6,[0.99941311 0.99850427 1.         0.18724005],[4.72077890e-01 4.56943736e-01 4.88022876e-01 5.96657959e-05],0.0,[5.27335220e-01 5.11524276e-01 5.42669148e-01 6.01535396e-05],[5.27644650e-01 5.11750565e-01 5.42931778e-01 5.99187593e-05]
Ideal,User,Split,1.0,0.5,0.6,[0.99944012 0.99853179 1.         0.18724685],[0.11444567 0.06538131 0.19937081 0.00122723],0.0,[0.88499445 0.79998887 0.9341673  0.0012277 ],[0.88549005 0.80050054 0.93458916 0.0012286 ]
Random,Item,Split,1.0,0.5,0.6,[0.47191485 0.45827145 0.48624717 0.04189543],[0.36357165 0.27821995 0.44934817 0.00196892],0.0,[0.10834321 0.01656627 0.192155   0.00201351],[0.2294145  0.03537853 0.40583117 0.00897023]
Random,Ideal,Split,1.0,0.5,0.6,[0.47193697 0.45681748 0.4866712  0.04184953],[9.99426689e-01 9.98444444e-01 1.00000000e+00 1.75909503e-07],0.0,[-5.27489719e-01 -5.42692238e-01 -5.12705451e-01  5.94466510e-05],[-1.11827552 -1.18802104 -1.05310757  0.00119877]
Random,User,Split,1.0,0.5,0.6,[0.47206436 0.45579697 0.48670749 0.04180715],[0.11778886 0.06559524 0.20619065 0.00136914],0.0,[0.35427551 0.26554688 0.40796334 0.00140637],[0.75046807 0.56506452 0.85927527 0.00613379]
User,Ideal,Split,1.0,0.5,0.6,[0.1187687  0.06862473 0.20876911 0.00579093],[9.99404737e-01 9.98411872e-01 1.00000000e+00 1.79601642e-07],0.0,[-0.88063604 -0.92979656 -0.78999437  0.00139637],[ -8.19419893 -13.54914485  -3.78405944   7.06588938]
User,Random,Split,1.0,0.5,0.6,[0.11578079 0.06337405 0.19958861 0.00534886],[4.71977847e-01 4.56916100e-01 4.87150654e-01 5.85722830e-05],0.0,[-0.35619705 -0.41007159 -0.27078658  0.00139777],[-3.46564651 -6.40455378 -1.34262663  1.74381938]
User,Item,Split,1.0,0.5,0.6,[0.11712049 0.06323333 0.20102789 0.00544122],[0.36561755 0.2785     0.44889216 0.00200016],0.0,[-0.24849706 -0.3582575  -0.116       0.00388806],[-2.44295964 -5.11324341 -0.60581428  1.43839053]
Item,Ideal,Cluster,1.0,0.52,0.6,[0.93374002 0.85685011 0.96826259 0.16019447],[0.99945239 0.9984127  1.         0.18723356],0.4621104504090513,[-0.06571237 -0.12119286 -0.03475047  0.00198265],[-0.07138528 -0.16577458 -0.03219305  0.0011402 ]
Item,Random,Cluster,1.0,0.57,0.6,[0.49058584 0.40771052 0.57197278 0.04840809],[0.47207831 0.45683532 0.48708113 0.04188604],0.39954549174797704,[ 0.01850753 -0.04971055  0.08726129  0.00241064],[ 0.03069334 -0.17231069  0.17763539  0.00745257]
Item,User,Cluster,1.0,0.5,0.6,[0.41281433 0.31910494 0.49545375 0.03527673],[0.31828861 0.21447202 0.42547832 0.02469555],0.4836906112225828,[0.09452572 0.01532706 0.17728872 0.00499719],[0.22722087 0.00896027 0.45251496 0.01318584]
Ideal,Item,Cluster,1.0,0.48,0.6,[0.99941432 0.99834515 1.         0.18722039],[0.93922029 0.87661458 0.97128931 0.16299387],0.4726691069415581,[0.06019403 0.03154551 0.1079229  0.00157488],[0.06022716 0.02759155 0.12327493 0.00054996]
Ideal,Random,Cluster,1.0,0.49,0.6,[0.99939165 0.99827124 1.         0.18720836],[0.47245189 0.45818307 0.48685374 0.04196263],0.44606871723390823,[0.52693976 0.51456138 0.5391179  0.05212447],[5.27260130e-01 5.12685009e-01 5.41500925e-01 5.73992548e-05]
Ideal,User,Cluster,1.0,0.56,0.6,[0.99942841 0.99847495 1.         0.18723831],[0.79897035 0.58416065 0.91247732 0.12368944],0.459611664413599,[0.20045806 0.09523886 0.36867911 0.01870732],[0.2005711  0.08689377 0.41560044 0.00759137]
Random,Item,Cluster,1.0,0.45,0.6,[0.47241561 0.45701724 0.48890123 0.04203695],[0.49426665 0.41914123 0.56734486 0.04842548],0.39675075452840736,[-0.02185104 -0.08524355  0.04370378  0.00216234],[-0.04659849 -0.20705814  0.11292375  0.00684766]
