algo1,algo2,method,gamma_pref,treatment_percentage,Unnamed: 0,TUR_algo_1,TUR_algo_2,graph_cut,TE,Percentage_TE
Item,User,Cluster,50.0,0.54,342,[0.59375533 0.53990363 0.64959877],[0.63497144 0.58377361 0.68640136],0.1213974035558279,[-0.04121612 -0.11907657  0.03484972  0.00154189],[-0.0727265  -0.23838447  0.07078251  0.00639453]
Ideal,Item,Cluster,50.0,0.45,343,[0.98273358 0.97324263 0.99259444],[0.59139223 0.53480038 0.64920767],0.0991055650141601,[0.39134135 0.34253917 0.44139136 0.00063592],[0.39821394 0.33958931 0.45559102 0.00089817]
Ideal,Random,Cluster,50.0,0.59,344,[0.98290736 0.97314815 0.99251208],[0.34957427 0.32418116 0.37731075],0.1065302407623049,[6.33333090e-01 6.07317700e-01 6.60002530e-01 1.80633806e-04],[6.44315711e-01 6.14892983e-01 6.71348830e-01 2.19218385e-04]
Ideal,User,Cluster,50.0,0.47,345,[0.98282332 0.97392154 0.9925066 ],[0.63208332 0.58428231 0.67880075],0.0869348464864319,[0.35074    0.30629074 0.39595227 0.00052317],[0.35682877 0.30583178 0.40673237 0.00067935]
Random,Item,Cluster,50.0,0.46,346,[0.34985711 0.32456944 0.37541962],[0.60628283 0.55441855 0.66454318],0.1312715938868777,[-0.25642572 -0.30889161 -0.20598877  0.0006891 ],[-0.73533454 -0.93758646 -0.54369378  0.01061513]
Random,Ideal,Cluster,50.0,0.5,347,[0.34982549 0.32471531 0.37536929],[0.98293014 0.9734537  0.99277894],0.10658113965831,[-6.33104650e-01 -6.58417660e-01 -6.07353100e-01  1.69694222e-04],[-1.81414887 -2.037987   -1.61205943  0.01304114]
Random,User,Cluster,50.0,0.47,348,[0.34954597 0.32473415 0.37547252],[0.62992692 0.58179542 0.67427398],0.1228335916539944,[-0.28038094 -0.32490162 -0.23576115  0.0005171 ],[-0.80477043 -1.00273193 -0.62962359  0.00960728]
User,Ideal,Cluster,50.0,0.44,349,[0.63291922 0.58205783 0.6839226 ],[0.98299699 0.97383893 0.99267869],0.0866560872227602,[-0.35007778 -0.39486207 -0.30230752  0.00055747],[-0.55586364 -0.69246039 -0.43416684  0.00448384]
User,Random,Cluster,50.0,0.51,350,[0.62874099 0.57777778 0.67816764],[0.3488057  0.32245817 0.37460571],0.1239875462923068,[0.27993528 0.232192   0.32726957 0.00058828],[0.44433255 0.38327151 0.50529139 0.00100614]
User,Item,Cluster,50.0,0.51,351,[0.63439613 0.58810724 0.6815566 ],[0.59391715 0.54275574 0.64861701],0.1210555103563716,[ 0.04047897 -0.03018158  0.11176768  0.00131128],[ 0.06172797 -0.07744277  0.1857046   0.00451572]
